benchmark,stage,condition,pct,delta_pp,sig
Value Conflict,Post-MT,curriculum-noDR,70.0,10.0,
Value Conflict,Post-MT,uniform-DR,73.3,13.3,*
Value Conflict,Post-MT,uniform-noDR,71.3,11.3,*
Value Conflict,Post-MT,CMT (pooled),70.8,10.8,*
Value Conflict,Post-SFT,control,92.0,,
Value Conflict,Post-SFT,curriculum-DR,91.3,-0.7,
Value Conflict,Post-SFT,curriculum-noDR,92.7,0.7,
Value Conflict,Post-SFT,uniform-DR,91.3,-0.7,
Value Conflict,Post-SFT,uniform-noDR,91.3,-0.7,
Value Conflict,Post-SFT,CMT (pooled),91.7,-0.3,
Value Conflict,Post-BFT,control,92.7,,
Value Conflict,Post-BFT,curriculum-DR,93.3,0.7,
Value Conflict,Post-BFT,curriculum-noDR,94.0,1.3,
Value Conflict,Post-BFT,uniform-DR,93.3,0.7,
Value Conflict,Post-BFT,uniform-noDR,92.0,-0.7,
Value Conflict,Post-BFT,CMT (pooled),93.2,0.5,
MMLU,Post-MT,control,59.2,,
MMLU,Post-MT,curriculum-DR,65.2,6.0,**
MMLU,Post-MT,curriculum-noDR,53.2,-6.0,**
MMLU,Post-MT,uniform-DR,67.7,8.5,***
MMLU,Post-MT,uniform-noDR,55.9,-3.3,
MMLU,Post-MT,CMT (pooled),60.5,1.3,
MMLU,Post-SFT,control,82.6,,
MMLU,Post-SFT,curriculum-DR,83.8,1.2,
MMLU,Post-SFT,curriculum-noDR,83.4,0.8,
MMLU,Post-SFT,uniform-DR,83.4,0.8,
MMLU,Post-SFT,uniform-noDR,84.2,1.6,
MMLU,Post-SFT,CMT (pooled),83.7,1.1,
MMLU,Post-BFT,control,81.5,,
MMLU,Post-BFT,curriculum-DR,82.5,0.9,
MMLU,Post-BFT,curriculum-noDR,82.5,0.9,
MMLU,Post-BFT,uniform-DR,82.2,0.7,
MMLU,Post-BFT,uniform-noDR,83.3,1.7,
MMLU,Post-BFT,CMT (pooled),82.6,1.1,
ARC-Easy,Post-MT,control,62.1,,
ARC-Easy,Post-MT,curriculum-DR,76.7,14.5,***
ARC-Easy,Post-MT,curriculum-noDR,60.1,-2.0,
ARC-Easy,Post-MT,uniform-DR,80.7,18.5,***
ARC-Easy,Post-MT,uniform-noDR,64.0,1.9,
ARC-Easy,Post-MT,CMT (pooled),70.4,8.2,***
ARC-Easy,Post-SFT,control,93.9,,
ARC-Easy,Post-SFT,curriculum-DR,94.0,0.1,
ARC-Easy,Post-SFT,curriculum-noDR,94.1,0.3,
ARC-Easy,Post-SFT,uniform-DR,94.0,0.1,
ARC-Easy,Post-SFT,uniform-noDR,94.1,0.3,
ARC-Easy,Post-SFT,CMT (pooled),94.1,0.2,
ARC-Easy,Post-BFT,control,93.5,,
ARC-Easy,Post-BFT,curriculum-DR,94.1,0.7,
ARC-Easy,Post-BFT,curriculum-noDR,94.0,0.5,
ARC-Easy,Post-BFT,uniform-DR,94.0,0.5,
ARC-Easy,Post-BFT,uniform-noDR,94.1,0.7,
ARC-Easy,Post-BFT,CMT (pooled),94.1,0.6,
piqa,Post-MT,control,57.1,,
piqa,Post-MT,curriculum-DR,74.9,17.9,***
piqa,Post-MT,curriculum-noDR,61.6,4.5,
piqa,Post-MT,uniform-DR,76.9,19.9,***
piqa,Post-MT,uniform-noDR,65.2,8.1,**
piqa,Post-MT,CMT (pooled),69.7,12.6,***
piqa,Post-SFT,control,91.3,,
piqa,Post-SFT,curriculum-DR,91.5,0.1,
piqa,Post-SFT,curriculum-noDR,92.0,0.7,
piqa,Post-SFT,uniform-DR,91.6,0.3,
piqa,Post-SFT,uniform-noDR,92.0,0.7,
piqa,Post-SFT,CMT (pooled),91.8,0.4,
piqa,Post-BFT,control,90.7,,
piqa,Post-BFT,curriculum-DR,91.7,1.1,
piqa,Post-BFT,curriculum-noDR,91.5,0.8,
piqa,Post-BFT,uniform-DR,90.8,0.1,
piqa,Post-BFT,uniform-noDR,92.4,1.7,
piqa,Post-BFT,CMT (pooled),91.6,0.9,
GSM8K,Post-MT,control,60.0,,
GSM8K,Post-MT,curriculum-DR,65.0,5.0,
GSM8K,Post-MT,curriculum-noDR,50.0,-10.0,*
GSM8K,Post-MT,uniform-DR,71.5,11.5,*
GSM8K,Post-MT,uniform-noDR,59.0,-1.0,
GSM8K,Post-MT,CMT (pooled),61.4,1.4,
GSM8K,Post-SFT,control,95.5,,
GSM8K,Post-SFT,curriculum-DR,95.0,-0.5,
GSM8K,Post-SFT,curriculum-noDR,95.5,0.0,
GSM8K,Post-SFT,uniform-DR,94.0,-1.5,
GSM8K,Post-SFT,uniform-noDR,96.0,0.5,
GSM8K,Post-SFT,CMT (pooled),95.1,-0.4,
GSM8K,Post-BFT,control,94.5,,
GSM8K,Post-BFT,curriculum-DR,94.0,-0.5,
GSM8K,Post-BFT,curriculum-noDR,95.0,0.5,
GSM8K,Post-BFT,uniform-DR,94.5,0.0,
GSM8K,Post-BFT,uniform-noDR,90.0,-4.5,
GSM8K,Post-BFT,CMT (pooled),93.4,-1.1,
Alignment Faking,Post-MT,control,1.8,,
Alignment Faking,Post-MT,curriculum-DR,-1.4,-3.3,
Alignment Faking,Post-MT,curriculum-noDR,0.8,-1.1,
Alignment Faking,Post-MT,uniform-DR,-0.4,-2.2,
Alignment Faking,Post-MT,uniform-noDR,0.7,-1.2,
Alignment Faking,Post-MT,CMT (pooled),-0.1,-1.9,**
Alignment Faking,Post-SFT,control,-0.5,,
Alignment Faking,Post-SFT,curriculum-DR,0.4,0.9,
Alignment Faking,Post-SFT,curriculum-noDR,0.3,0.8,
Alignment Faking,Post-SFT,uniform-DR,0.3,0.8,
Alignment Faking,Post-SFT,uniform-noDR,0.5,1.0,
Alignment Faking,Post-SFT,CMT (pooled),0.4,0.9,
Alignment Faking,Post-BFT,control,-0.5,,
Alignment Faking,Post-BFT,curriculum-DR,0.1,0.7,
Alignment Faking,Post-BFT,curriculum-noDR,-0.1,0.4,
Alignment Faking,Post-BFT,uniform-DR,0.3,0.8,
Alignment Faking,Post-BFT,uniform-noDR,0.3,0.8,
Alignment Faking,Post-BFT,CMT (pooled),0.1,0.6,
Emergent Misalignment,Post-MT,control,0.0,,
Emergent Misalignment,Post-MT,curriculum-DR,2.8,,
Emergent Misalignment,Post-MT,curriculum-noDR,4.9,,
Emergent Misalignment,Post-MT,uniform-DR,0.8,,
Emergent Misalignment,Post-MT,uniform-noDR,5.8,,
Emergent Misalignment,Post-MT,CMT (pooled),3.6,3.5,*
Emergent Misalignment,Post-SFT,control,0.0,,
Emergent Misalignment,Post-SFT,curriculum-DR,0.0,,
Emergent Misalignment,Post-SFT,curriculum-noDR,0.0,,
Emergent Misalignment,Post-SFT,uniform-DR,0.0,,
Emergent Misalignment,Post-SFT,uniform-noDR,0.0,,
Emergent Misalignment,Post-SFT,CMT (pooled),0.0,0.0,
Emergent Misalignment,Post-BFT,control,0.0,,
Emergent Misalignment,Post-BFT,curriculum-DR,0.0,,
Emergent Misalignment,Post-BFT,curriculum-noDR,0.0,,
Emergent Misalignment,Post-BFT,uniform-DR,0.0,,
Emergent Misalignment,Post-BFT,uniform-noDR,0.0,,
Emergent Misalignment,Post-BFT,CMT (pooled),0.0,0.0,
